B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,QA_PIXEL,QA_RADSAT,SAA,SZA,VAA,VZA,NDSI,NDVI,NDWI,B8/B6,B8/B6_1,NDSI_1,NDVI_1,NDWI_1,count,system:index,label
10439.55034965035,10404.314685314685,11203.019580419581,12758.688811188811,13616.992307692308,14387.032167832167,12268.421678321678,11759.788811188811,6546.416783216783,23193.075524475524,22505.717482517484,21825.264335664335,0.0,5689.511888111888,4159.254545454545,8152.800699300699,118.04615384615384,-0.14252512919215055,0.03342000273862484,-0.09385840450446088,-0.1205906395025395,-0.1205906395025395,-0.14252512919215055,0.03342000273862484,-0.09385840450446088,715,-258124-105320,469961334
15239.128378378378,15931.655405405405,17464.08108108108,19468.425675675677,19192.054054054053,15650.858108108108,12953.108108108108,18021.175675675677,9361.831081081082,20755.297297297297,20465.79054054054,22753.04054054054,0.0,5694.0,4156.513513513513,12330.966216216217,126.4054054054054,0.04066216881777084,0.006993903071938925,-0.05970149062026443,0.058096708346793834,0.058096708346793834,0.04066216881777084,0.006993903071938925,-0.05970149062026443,74,-258125-105174,-71025604
12046.33116883117,12019.897186147185,12643.564935064935,14153.412337662337,14791.597402597403,13802.542207792209,12366.049783549783,13108.095238095239,7148.940476190476,21862.021645021647,21232.780303030304,21903.88961038961,0.0,5693.015151515152,4157.357142857143,11618.938311688311,124.65800865800865,-0.0712959044595896,0.026808285106006115,-0.08666892615005825,-0.05102233061168126,-0.05102233061168126,-0.0712959044595896,0.026808285106006115,-0.08666892615005825,462,-258127-105196,1539087161
12061.83992248062,12143.135852713178,13122.403294573644,15177.013759689922,16508.356589147286,15407.162403100776,13824.728682170542,13776.4992248062,8640.275968992248,21305.0496124031,20902.061434108527,21910.778294573644,0.0,5693.977713178295,4157.294573643411,12252.559108527132,129.10174418604652,-0.13817948199535157,0.04369825033886169,-0.11291155073784523,-0.1138410676731534,-0.1138410676731534,-0.13817948199535157,0.04369825033886169,-0.11291155073784523,2580,-258129-105138,1520264387
11625.485507246376,11655.921739130436,12997.588405797102,15905.091304347827,17816.965217391305,18414.08260869565,16558.931884057973,13971.508695652174,8968.505797101448,24919.020289855074,23823.13913043478,21825.484057971014,0.0,5693.415942028985,4157.502898550724,12268.176811594203,127.91159420289856,-0.20073366747170254,0.05751029124510461,-0.15296291207921678,-0.16589134193524935,-0.16589134193524935,-0.20073366747170254,0.05751029124510461,-0.15296291207921678,345,-258141-105202,541119088
10661.31660899654,10627.384948096886,11771.356401384082,13929.057958477508,16006.807093425605,17129.818339100348,15489.94982698962,12402.592560553634,8152.5371972318335,25255.336505190313,24149.942906574393,22026.5,0.0,5695.307958477509,4156.675605536332,12448.653979238754,132.60553633217992,-0.20747385670956237,0.06973018246512719,-0.15243057583081682,-0.1811176123013752,-0.1811176123013752,-0.20747385670956237,0.06973018246512719,-0.15243057583081682,578,-258147-105121,2001424387
11710.617001828154,11605.586837294333,12284.930530164535,14291.141224862888,15543.077696526509,14227.18692870201,13061.745429616089,12937.942870201097,8103.414990859233,21995.303473491775,21560.88117001828,22132.78336380256,0.0,5692.010511882998,4158.624314442413,12059.289305301645,127.01736745886654,-0.10550985084193243,0.0427318113196047,-0.11618447400203019,-0.08086351767546335,-0.08086351767546335,-0.10550985084193243,0.0427318113196047,-0.11618447400203019,1094,-258147-105250,-1606908316
10915.29872611465,10860.558917197452,11653.70923566879,13137.037898089173,14234.098407643312,12114.463375796178,11221.224840764331,12137.512101910828,6789.61974522293,22759.582165605094,22004.263057324843,22235.849044585986,0.0,5696.122611464968,4156.183439490446,12443.593949044585,132.7079617834395,-0.07614288352649351,0.03461955616190017,-0.08213371590775687,-0.058941722312530746,-0.058941722312530746,-0.07614288352649351,0.03461955616190017,-0.08213371590775687,1570,-258149-105084,-1420011119
9547.020632737276,9168.309491059148,9006.574965612104,9574.195323246217,9922.528198074278,9286.715955983494,8449.28885832187,9185.425722145805,5820.085281980742,21838.791609353506,21362.75171939477,21833.11279229711,0.0,5690.585281980742,4159.145116918845,10981.98349381018,123.37001375515818,-0.037280907511359415,0.018430032748089353,-0.0477020988763506,-0.027239345730461873,-0.027239345730461873,-0.037280907511359415,0.018430032748089353,-0.0477020988763506,727,-258149-105299,103208569
10154.15539983512,9970.873042044517,10412.733305853257,11982.956718878813,13193.006183017313,13050.5197856554,11535.104286892003,10927.557295960429,7278.995877988458,26210.120362737016,24960.667765869744,21824.0,0.0,5690.860676009893,4158.657048639736,10291.02885408079,122.16199505358615,-0.12133494080624006,0.04747373817729635,-0.11477124340592684,-0.09758709112106632,-0.09758709112106632,-0.12133494080624006,0.04747373817729635,-0.11477124340592684,1213,-258151-105278,-1271770841
